fecha,mes,anio,linea,tipo_pago,afluencia
2022-01-11,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-11,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-11,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-12,Enero,2022,Línea 1,Boleto,30101
2022-01-12,Enero,2022,Línea 1,Prepago,14674
2022-01-12,Enero,2022,Línea 1,Gratuidad,18637
2022-01-12,Enero,2022,Línea 1 Nochebús,Boleto,327
2022-01-12,Enero,2022,Línea 1 Nochebús,Prepago,119
2022-01-12,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-12,Enero,2022,Línea 2,Boleto,9377
2022-01-12,Enero,2022,Línea 2,Prepago,4098
2022-01-12,Enero,2022,Línea 2,Gratuidad,6417
2022-01-12,Enero,2022,Línea 3,Boleto,6429
2022-01-12,Enero,2022,Línea 3,Prepago,3168
2022-01-12,Enero,2022,Línea 3,Gratuidad,4966
2022-01-12,Enero,2022,Línea 4,Boleto,6257
2022-01-12,Enero,2022,Línea 4,Prepago,0
2022-01-12,Enero,2022,Línea 4,Gratuidad,2195
2022-01-12,Enero,2022,Línea 5,Boleto,3692
2022-01-12,Enero,2022,Línea 5,Prepago,0
2022-01-12,Enero,2022,Línea 5,Gratuidad,1337
2022-01-12,Enero,2022,Línea 6,Boleto,4057
2022-01-12,Enero,2022,Línea 6,Prepago,0
2022-01-12,Enero,2022,Línea 6,Gratuidad,1289
2022-01-12,Enero,2022,Línea 7,Boleto,18180
2022-01-12,Enero,2022,Línea 7,Prepago,1860
2022-01-12,Enero,2022,Línea 7,Gratuidad,5362
2022-01-12,Enero,2022,Línea 8,Boleto,0
2022-01-12,Enero,2022,Línea 8,Prepago,0
2022-01-12,Enero,2022,Línea 8,Gratuidad,0
2022-01-12,Enero,2022,Línea 9,Boleto,3808
2022-01-12,Enero,2022,Línea 9,Prepago,1783
2022-01-12,Enero,2022,Línea 9,Gratuidad,3246
2022-01-12,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-12,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-12,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-13,Enero,2022,Línea 1,Boleto,31027
2022-01-13,Enero,2022,Línea 1,Prepago,14460
2022-01-13,Enero,2022,Línea 1,Gratuidad,18933
2022-01-13,Enero,2022,Línea 1 Nochebús,Boleto,365
2022-01-13,Enero,2022,Línea 1 Nochebús,Prepago,130
2022-01-13,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-13,Enero,2022,Línea 2,Boleto,9237
2022-01-13,Enero,2022,Línea 2,Prepago,3858
2022-01-13,Enero,2022,Línea 2,Gratuidad,6236
2022-01-13,Enero,2022,Línea 3,Boleto,5647
2022-01-13,Enero,2022,Línea 3,Prepago,3121
2022-01-13,Enero,2022,Línea 3,Gratuidad,4537
2022-01-13,Enero,2022,Línea 4,Boleto,7398
2022-01-13,Enero,2022,Línea 4,Prepago,0
2022-01-13,Enero,2022,Línea 4,Gratuidad,2595
2022-01-13,Enero,2022,Línea 5,Boleto,3931
2022-01-13,Enero,2022,Línea 5,Prepago,0
2022-01-13,Enero,2022,Línea 5,Gratuidad,1423
2022-01-13,Enero,2022,Línea 6,Boleto,4094
