fecha,mes,anio,linea,tipo_pago,afluencia
2022-03-15,Marzo,2022,Línea 2,Gratuidad,7761
2022-03-16,Marzo,2022,Línea 1,Prepago,42265
2022-03-16,Marzo,2022,Línea 1,Gratuidad,3997
2022-03-16,Marzo,2022,Línea 2,Prepago,65127
2022-03-16,Marzo,2022,Línea 2,Gratuidad,8003
2022-03-17,Marzo,2022,Línea 1,Prepago,43566
2022-03-17,Marzo,2022,Línea 1,Gratuidad,4292
2022-03-17,Marzo,2022,Línea 2,Prepago,64976
2022-03-17,Marzo,2022,Línea 2,Gratuidad,7692
2022-03-18,Marzo,2022,Línea 1,Prepago,42124
2022-03-18,Marzo,2022,Línea 1,Gratuidad,3870
2022-03-18,Marzo,2022,Línea 2,Prepago,65863
2022-03-18,Marzo,2022,Línea 2,Gratuidad,7650
2022-03-19,Marzo,2022,Línea 1,Prepago,38235
2022-03-19,Marzo,2022,Línea 1,Gratuidad,3463
2022-03-19,Marzo,2022,Línea 2,Prepago,61721
2022-03-19,Marzo,2022,Línea 2,Gratuidad,6715
2022-03-20,Marzo,2022,Línea 1,Prepago,29921
2022-03-20,Marzo,2022,Línea 1,Gratuidad,3085
2022-03-20,Marzo,2022,Línea 2,Prepago,46995
2022-03-20,Marzo,2022,Línea 2,Gratuidad,5277
2022-03-21,Marzo,2022,Línea 1,Prepago,28223
2022-03-21,Marzo,2022,Línea 1,Gratuidad,3163
2022-03-21,Marzo,2022,Línea 2,Prepago,45530
2022-03-21,Marzo,2022,Línea 2,Gratuidad,5578
2022-03-22,Marzo,2022,Línea 1,Prepago,42396
2022-03-22,Marzo,2022,Línea 1,Gratuidad,4234
2022-03-22,Marzo,2022,Línea 2,Prepago,64150
2022-03-22,Marzo,2022,Línea 2,Gratuidad,8434
2022-03-23,Marzo,2022,Línea 1,Prepago,42832
2022-03-23,Marzo,2022,Línea 1,Gratuidad,4302
2022-03-23,Marzo,2022,Línea 2,Prepago,64072
2022-03-23,Marzo,2022,Línea 2,Gratuidad,7646
2022-03-24,Marzo,2022,Línea 1,Prepago,43301
2022-03-24,Marzo,2022,Línea 1,Gratuidad,4249
2022-03-24,Marzo,2022,Línea 2,Prepago,65406
2022-03-24,Marzo,2022,Línea 2,Gratuidad,7869
2022-03-25,Marzo,2022,Línea 1,Prepago,43266
2022-03-25,Marzo,2022,Línea 1,Gratuidad,4463
2022-03-25,Marzo,2022,Línea 2,Prepago,66664
2022-03-25,Marzo,2022,Línea 2,Gratuidad,8322
