fecha,mes,anio,servicio,tipo_pago,afluencia
2025-08-30,Agosto,2025,ECOBÚS,Boleto,0
2025-08-30,Agosto,2025,ECOBÚS,Prepago,26401
2025-08-30,Agosto,2025,ECOBÚS,Gratuidad,4336
2025-08-30,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-30,Agosto,2025,EXPDIRECTO,Prepago,1246
2025-08-30,Agosto,2025,EXPDIRECTO,Gratuidad,201
2025-08-30,Agosto,2025,EXPRESO,Boleto,0
2025-08-30,Agosto,2025,EXPRESO,Prepago,54374
2025-08-30,Agosto,2025,EXPRESO,Gratuidad,9097
2025-08-30,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-30,Agosto,2025,NOCHEBÚS,Prepago,813
2025-08-30,Agosto,2025,NOCHEBÚS,Gratuidad,105
2025-08-30,Agosto,2025,ORDINARIO,Boleto,0
2025-08-30,Agosto,2025,ORDINARIO,Prepago,29481
2025-08-30,Agosto,2025,ORDINARIO,Gratuidad,4935
2025-08-30,Agosto,2025,S/METRO,Boleto,4988
2025-08-30,Agosto,2025,S/METRO,Prepago,15682
2025-08-30,Agosto,2025,S/METRO,Gratuidad,3355
2025-08-30,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-30,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1292
2025-08-30,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,215
2025-08-31,Agosto,2025,ATENEA,Boleto,0
2025-08-31,Agosto,2025,ATENEA,Prepago,8225
2025-08-31,Agosto,2025,ATENEA,Gratuidad,1376
2025-08-31,Agosto,2025,ECOBÚS,Boleto,0
2025-08-31,Agosto,2025,ECOBÚS,Prepago,17556
2025-08-31,Agosto,2025,ECOBÚS,Gratuidad,2876
2025-08-31,Agosto,2025,EXPRESO,Boleto,0
2025-08-31,Agosto,2025,EXPRESO,Prepago,45514
2025-08-31,Agosto,2025,EXPRESO,Gratuidad,7615
2025-08-31,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-31,Agosto,2025,NOCHEBÚS,Prepago,625
2025-08-31,Agosto,2025,NOCHEBÚS,Gratuidad,77
2025-08-31,Agosto,2025,ORDINARIO,Boleto,0
2025-08-31,Agosto,2025,ORDINARIO,Prepago,22662
2025-08-31,Agosto,2025,ORDINARIO,Gratuidad,3756
2025-08-31,Agosto,2025,S/METRO,Boleto,4370
2025-08-31,Agosto,2025,S/METRO,Prepago,15159
2025-08-31,Agosto,2025,S/METRO,Gratuidad,3189
2025-08-31,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-31,Agosto,2025,SERVICIOS TEMPORALES,Prepago,860
2025-08-31,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,140
2025-09-01,Septiembre,2025,ATENEA,Boleto,0
2025-09-01,Septiembre,2025,ATENEA,Prepago,21960
2025-09-01,Septiembre,2025,ATENEA,Gratuidad,5514
2025-09-01,Septiembre,2025,ECOBUS,Boleto,0
2025-09-01,Septiembre,2025,ECOBUS,Prepago,42302
2025-09-01,Septiembre,2025,ECOBUS,Gratuidad,10470
2025-09-01,Septiembre,2025,EXPDIRECTO,Boleto,0
2025-09-01,Septiembre,2025,EXPDIRECTO,Prepago,4011
2025-09-01,Septiembre,2025,EXPDIRECTO,Gratuidad,998
2025-09-01,Septiembre,2025,EXPRESO,Boleto,0
2025-09-01,Septiembre,2025,EXPRESO,Prepago,112809
2025-09-01,Septiembre,2025,EXPRESO,Gratuidad,28334
2025-09-01,Septiembre,2025,NOCHEBUS,Boleto,0
2025-09-01,Septiembre,2025,NOCHEBUS,Prepago,269
2025-09-01,Septiembre,2025,NOCHEBUS,Gratuidad,21
2025-09-01,Septiembre,2025,ORDINARIO,Boleto,0
2025-09-01,Septiembre,2025,ORDINARIO,Prepago,62430
2025-09-01,Septiembre,2025,ORDINARIO,Gratuidad,15653
2025-09-01,Septiembre,2025,S/METRO,Boleto,6152
2025-09-01,Septiembre,2025,S/METRO,Prepago,18529
2025-09-01,Septiembre,2025,S/METRO,Gratuidad,6076
2025-09-01,Septiembre,2025,SERVICIOS TEMPORALES,Boleto,0
2025-09-01,Septiembre,2025,SERVICIOS TEMPORALES,Prepago,966
2025-09-01,Septiembre,2025,SERVICIOS TEMPORALES,Gratuidad,241
2025-09-02,Septiembre,2025,ATENEA,Boleto,0
2025-09-02,Septiembre,2025,ATENEA,Prepago,19672
